Date,MKPRU,MKPRUPNZ
12/9/2020,0.004132271,P
11/9/2020,0.012204935,P
10/9/2020,0.010503363,P
9/9/2020,-0.023748667,N
8/9/2020,0.011000563,P
7/9/2020,0.009381256,P
6/9/2020,-0.029449106,N
5/9/2020,0.027521936,P
4/9/2020,-0.10615805,N
3/9/2020,-0.044099553,N
2/9/2020,0.022614899,P
1/9/2020,-0.004117775,N
31/8/2020,0.019695793,P
30/8/2020,-0.004604348,N
29/8/2020,0.020592797,P
28/8/2020,-0.014420046,N
27/8/2020,0.011463828,P
26/8/2020,-0.036257441,N
25/8/2020,0.009517704,P
24/8/2020,-0.002603685,N
23/8/2020,0.013941056,P
22/8/2020,-0.028908242,N
21/8/2020,0.011234021,P
20/8/2020,-0.019677464,N
19/8/2020,-0.026370374,N
18/8/2020,0.031870881,P
17/8/2020,0.003371237,P
16/8/2020,0.008459044,P
15/8/2020,-0.00025897,N
14/8/2020,0.017654719,P
13/8/2020,0.015859654,P
12/8/2020,-0.042091881,N
11/8/2020,0.01788505,P
10/8/2020,-0.007099154,N
9/8/2020,0.013958779,P
8/8/2020,-0.014213952,N
7/8/2020,0.001928465,P
6/8/2020,0.049671036,P
5/8/2020,-0.00429795,N
4/8/2020,0.01487664,P
3/8/2020,-0.063086904,N
2/8/2020,0.042296816,P
1/8/2020,0.02059842,P
31/7/2020,0.001104239,P
30/7/2020,0.015338904,P
29/7/2020,-0.00973158,N
28/7/2020,0.111036208,P
27/7/2020,0.023830028,P
26/7/2020,0.016355923,P
25/7/2020,-0.006431842,N
24/7/2020,0.007938222,P
23/7/2020,0.015409905,P
22/7/2020,0.024966526,P
21/7/2020,-0.005511869,N
20/7/2020,0.004354361,P
19/7/2020,0.002241596,P
18/7/2020,0.0025397,P
17/7/2020,-0.006799362,N
16/7/2020,-0.006592454,N
15/7/2020,0.001774169,P
14/7/2020,-0.006214568,N
13/7/2020,0.006489851,P
12/7/2020,-0.005538687,N
11/7/2020,0.005343125,P
10/7/2020,-0.021401324,N
9/7/2020,0.019861218,P
8/7/2020,-0.009913455,N
7/7/2020,0.02858592,P
6/7/2020,-0.004623652,N
5/7/2020,0.006491102,P
4/7/2020,-0.001712152,N
3/7/2020,-0.016066901,N
2/7/2020,0.011211992,P
1/7/2020,-0.00559369,N
30/6/2020,0.006341297,P
29/6/2020,0.0136869,P
28/6/2020,-0.016409506,N
27/6/2020,-0.009349789,N
26/6/2020,-0.003851635,N
25/6/2020,-0.035847878,N
24/6/2020,-0.007264829,N
23/6/2020,0.043848104,P
22/6/2020,-0.007763884,N
21/6/2020,0.00615904,P
20/6/2020,-0.008515964,N
19/6/2020,-0.007909202,N
18/6/2020,-0.007473231,N
17/6/2020,0.010533909,P
16/6/2020,0.010356835,P
15/6/2020,-0.015140128,N
14/6/2020,0.001430237,P
13/6/2020,0.01868858,P
12/6/2020,-0.061231504,N
11/6/2020,0.01196708,P
10/6/2020,-0.000760535,N
9/6/2020,0.002946529,P
8/6/2020,0.008626297,P
7/6/2020,0.0048505,P
6/6/2020,-0.017439272,N
5/6/2020,0.014135373,P
4/6/2020,0.013906779,P
3/6/2020,-0.066507713,N
2/6/2020,0.079716724,P
1/6/2020,-0.025495716,N
31/5/2020,0.028869147,P
30/5/2020,-0.014967798,N
29/5/2020,0.040409718,P
28/5/2020,0.040110372,P
27/5/2020,-0.00638339,N
26/5/2020,0.019348898,P
25/5/2020,-0.048766005,N
24/5/2020,0.001206467,P
23/5/2020,0.012110312,P
22/5/2020,-0.047641228,N
21/5/2020,-0.028109269,N
20/5/2020,0.006828632,P
19/5/2020,0.005167849,P
18/5/2020,0.030226834,P
17/5/2020,0.008825625,P
16/5/2020,-0.049714463,N
15/5/2020,0.052050682,P
14/5/2020,0.05574886,P
13/5/2020,0.022893615,P
12/5/2020,-0.015673154,N
11/5/2020,-0.08112715,N
10/5/2020,-0.029975157,N
9/5/2020,-0.01806352,N
8/5/2020,0.090689025,P
7/5/2020,0.015483404,P
6/5/2020,0.016321308,P
5/5/2020,-0.002023821,N
4/5/2020,-0.007785982,N
3/5/2020,0.016902634,P
2/5/2020,0.022701961,P
1/5/2020,-0.01695902,N
30/4/2020,0.130361491,P
29/4/2020,-0.003251329,N
28/4/2020,0.011869957,P
27/4/2020,0.019835698,P
26/4/2020,0.00565333,P
25/4/2020,0.003942441,P
24/4/2020,0.048606154,P
23/4/2020,0.040637605,P
22/4/2020,0.001795259,P
21/4/2020,-0.040644933,N
20/4/2020,-0.017814243,N
19/4/2020,0.031908104,P
18/4/2020,-0.010879789,N
17/4/2020,0.073744678,P
16/4/2020,-0.036110565,N
15/4/2020,0.002083801,P
14/4/2020,-0.008345179,N
