Date,MKPRU,MKPRUPNZN,MKPRUPNZ,MKTCP,TRFEE,TRFUS,NTRAN,NTREP,NTRBL,TOUTV,CPTRA,HRATE,MIREV,AVBLS,TRVOU,LTCPCUSD
15/12/2021,0.03498293,1,P,-0.03853431,-0.094701482,-0.117186756,0.000230041,0.001124957,-0.047078136,1.910731303,0.022192873,0.04964539,0.022428019,-0.039925164,1.4845081,0.0422
14/12/2021,-0.067045977,0,N,-0.037966145,0.978128637,0.944138022,0.29516126,0.299142849,0.285975719,0.350196767,-0.227665346,0.007142857,0.000297924,0.38723824,-0.045466955,-0.0918
13/12/2021,0.014936916,1,P,0.043937562,-0.175315009,-0.154582014,-0.048397886,-0.051228777,0.026370852,-0.122647691,-0.004114481,-0.044142286,-0.052313235,-0.026090261,-0.370600124,0.0095
12/12/2021,0.047567476,1,P,0.002831067,-0.315597213,-0.313356566,-0.168187932,-0.16862937,-0.140644486,-0.146141087,0.165046909,0.017049732,-0.030899921,-0.138200887,-0.050549096,0.062
11/12/2021,-0.01095727,0,N,0.007659391,-0.037534019,-0.053953396,-0.040314738,-0.039692879,0.002748062,-0.038007496,-0.020015931,-0.042944785,-0.059523732,-0.226457646,0.179472093,-0.0205
10/12/2021,-0.056451728,0,N,-0.047062907,0.163552015,0.135513527,0.062624479,0.061731381,0.095220322,-0.277350724,-0.105044106,-0.029761905,-0.04899796,0.397024565,-0.022846625,-0.0818
9/12/2021,-0.002651573,0,N,-0.015957729,-0.091309063,-0.10479035,-0.077106085,-0.076388743,-0.154013912,-0.171667128,0.159126003,0.090909091,0.069750334,-0.211599886,-0.482080865,0.0191
8/12/2021,0.001597559,1,P,0.035190336,-0.12326009,-0.083852567,0.013625482,0.012668877,0.132101188,-0.040581718,-0.076645707,-0.104651163,-0.06406456,0.101159159,-0.036566604,0.0019
7/12/2021,0.02398116,1,P,0.002134277,-0.405475166,-0.409095256,0.321792829,0.319905567,0.275683776,0.868956006,-0.228303642,0.036144578,0.020022711,-0.103395459,-0.50280399,0.0346
6/12/2021,0.002569748,1,P,-0.000834528,0.251604174,0.262359639,-0.151615853,-0.152566632,-0.20783408,-0.333248846,0.269599447,0.070967742,0.077108043,0.119722287,1.460865552,-0.0411
